X,Y,OBJECTID,NAME,PMT_NBR,REFERENCE_POINT,CHANGED_DATE,CHANGED_BY,VERIFYDATE,VERIFIEDBY,INSERTED_DATE,INSERTED_BY,PERM_ID,PERM_NUM,PERM_NAME,PERM_TOTAL_ACRES,PTC_DESCRIPTION,CLAS_DESCRIPTION,FAC_L_ADDR_1,FAC_L_ADDR_2,FAC_LOCATION,FAC_FIC_COUNTY,COUNTY,REGION,RECOMCOM,PERMIT_STATUS,PERM_MW
-8781562.9317,4394683.7292,132,,RE0000169,FC,2020/06/17 18:22:57+00,SMTRIPP,2020/06/17 18:22:57+00,SMTRIPP,2020/06/17 18:22:57+00,SMTRIPP,750000000170,RE0000169,"Watlington Solar, LLC",220,Solar,Application - In Review,,,,083,Halifax,BRRO,Not Producing Power,Solar Application - In Review Not Producing Power,
-8522874.3575,4560319.4774,133,,RE0000170,FC,2020/06/22 08:35:43+00,SMTRIPP,2020/06/22 08:35:43+00,SMTRIPP,2020/06/22 08:35:43+00,SMTRIPP,750000000171,RE0000170,"Bookers Mill Solar, LLC",1000,Solar,NOI - Active,,,,159,Richmond,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8651178.0857,4485159.2568,134,,RE0000171,FC,2020/07/15 07:44:39+00,SMTRIPP,2020/07/15 07:44:39+00,SMTRIPP,2020/07/15 07:44:39+00,SMTRIPP,750000000172,RE0000171,"Winterpock Solar I, LLC",250,Solar,NOI - Active,,,,041,Chesterfield,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8714069.0339,4733741.6944,135,,RE0000172,FC,2020/09/01 10:19:33+00,SMTRIPP,2020/09/01 10:19:33+00,SMTRIPP,2020/09/01 10:19:33+00,SMTRIPP,750000000173,RE0000172,"Foxglove Solar, LLC",668,Solar,NOI - Active,,,,069,Frederick,VRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8820740.4906,4413583.2466,136,,RE0000173,FC,2020/09/10 08:48:57+00,SMTRIPP,2020/09/10 08:48:57+00,SMTRIPP,2020/09/10 08:48:57+00,SMTRIPP,750000000174,RE0000173,"Shockoe Solar, LLC",885,Solar,NOI - Active,,,,143,Pittsylvania,BRRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8663324.378,4513982.1797,137,,RE0000174,FC,2020/09/14 14:29:01+00,SMTRIPP,2020/09/14 14:29:01+00,SMTRIPP,2020/09/14 14:29:01+00,SMTRIPP,750000000175,RE0000174,North Ridge Powhatan Solar LLC,197,Solar,NOI - Active,,,,145,Powhatan,PRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8522948.385,4396549.0314,138,,RE0000175,FC,2020/09/25 10:56:59+00,SMTRIPP,2020/09/25 10:56:59+00,SMTRIPP,2020/09/25 10:56:59+00,SMTRIPP,750000000176,RE0000175,"Stratford Solar Center, LLC",150,Solar,NOI - Active,,,,800,Suffolk,TRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8549501.3118,4555291.8355,139,"Essex Solar Center, LLC",RE0000007,PG,2020/10/14 15:53:00+00,SMTRIPP,2020/10/14 15:53:00+00,SMTRIPP,1970/01/01 00:00:00+00,,750000000007,RE0000007,Essex Solar Center LLC,275,Solar,Permit - Active,0 Tidewater Trail and Muddy Gut Rd,,,057,Essex,PRO,Producing Power,Solar Permit - Active Producing Power,
-8696914.923,4604622.1,140,,RE0000180,FC,2020/12/07 09:18:52+00,SMTRIPP,2020/12/07 09:18:52+00,SMTRIPP,2020/12/07 09:18:52+00,SMTRIPP,750000000181,RE0000180,"Campari Solar, LLC",141,Solar,NOI - Active,,,,137,Orange,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
-8696377.4725,4603613.0284,141,,RE0000181,FC,2020/12/07 17:49:27+00,SMTRIPP,2020/12/07 17:49:27+00,SMTRIPP,2020/12/07 17:49:27+00,SMTRIPP,750000000182,RE0000181,"Naples Solar, LLC",126,Solar,NOI - Active,,,,137,Orange,NRO,Not Producing Power,Solar NOI - Active Not Producing Power,
